timestamp,crazyflie_ActualState_pose_x,crazyflie_ActualState_pose_y,crazyflie_ActualState_pose_z,crazyflie_ActualState_vel_x,crazyflie_ActualState_vel_y,crazyflie_ActualState_vel_z,crazyflie_ActualState_ori_qx,crazyflie_ActualState_ori_qy,crazyflie_ActualState_ori_qz,crazyflie_ActualState_ori_qw,crazyflie_ActualState_ang_vel_x,crazyflie_ActualState_ang_vel_y,crazyflie_ActualState_ang_vel_z,cf_control_control_command_thrust,cf_control_control_command_torque_x,cf_control_control_command_torque_y,cf_control_control_command_torque_z
1781018418640311985,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418682272547,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418691045517,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418701770326,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418711186207,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418734407856,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418736365231,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418750947480,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418755544926,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418793034578,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418797312074,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418829574637,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418834736289,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418841786024,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418842537044,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418858999763,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418871186776,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418878953736,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418889456629,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418919926809,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418927384468,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418927495429,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418930250999,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418952555865,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418981531230,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419017527931,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419019714166,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419036095287,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419036946116,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419054710017,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419062991007,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419071717112,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419082373698,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419148619961,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419169051429,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419169196487,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419175006928,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419191340806,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419198619150,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419207832412,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419217221797,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419222990257,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419244127899,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419258934145,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419290852121,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419298277883,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419376165143,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419380793688,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419390285923,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419419985969,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419420233761,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419447695330,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419451938542,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419467678091,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419472056561,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419488433892,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419499777864,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419504476087,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419523238875,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419546435492,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419563957697,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419564920199,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419589601911,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419589629398,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419589663265,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419634949103,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419640807900,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419708269314,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419708481107,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419730825399,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419822209753,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419828684518,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419832133323,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
